Source Substation ID,Source Substation Name,Target Substation ID,Target Substation Name,Line Name
123,North Lethbridge,196,Wyndham,770L
123,North Lethbridge,182,Ware Junction,940L
123,North Lethbridge,192,Windy Flats,967L
123,North Lethbridge,138,Raymond Reservoir,207L
123,North Lethbridge,165,Taber,172L
123,North Lethbridge,171,Travers,1041L
123,North Lethbridge,95,Killarney Lake,734L
123,North Lethbridge,54,Empress,667L
123,North Lethbridge,195,Woolchester,968L
124,Oakland,47,Coyote Lake,9L29
124,Oakland,100,Lanfine,9L24
124,Oakland,2,Anderson,9L97
124,Oakland,44,Cordel,9L70
125,Okotoks,84,Hilda,646L
125,Okotoks,159,Strathmore,727L
125,Okotoks,15,Blackie,850L
126,Oldman River,139,Red Deer,893L
127,Oyen,100,Lanfine,7L132
127,Oyen,122,North Holden,7L760
127,Oyen,197,Youngstown,6L09
128,Paintearth Creek,124,Oakland,9L27
128,Paintearth Creek,93,Jenner,948L/9L948
129,Peace Butte,26,Bullshead,600L
130,Peigan,58,Fidler,616L
130,Peigan,192,Windy Flats,1048L
130,Peigan,67,Goose Lake,955L
130,Peigan,186,West Brooks,1049L
130,Peigan,68,Granlea,956L
131,Pemukan,2,Anderson,7L79
131,Pemukan,192,Windy Flats,966L/9L966
131,Pemukan,100,Lanfine,9L46
131,Pemukan,114,Michichi Creek,7L127
132,Picture Butte,115,Milo,1005L
132,Picture Butte,123,North Lethbridge,940L
133,Pincher Creek,94,Kettle's Hill,613L
133,Pincher Creek,50,Drywood,185L
133,Pincher Creek,145,Russell,412L
133,Pincher Creek,106,Lundbreck,514L
134,Provost,187,Westfield,715L
134,Provost,92,Jarrow,398L
135,Queenstown,66,Glenwood,161L
135,Queenstown,109,Magrath,853L
136,Rangeland Yarrow,184,Waterton,185AL
137,Rattlesnake Ridge,19,Bowmanton,879AL
138,Raymond Reservoir,109,Magrath,225AL
139,Red Deer,119,Nevis,912L
140,Ribstone Creek,131,Pemukan,7L79
140,Ribstone Creek,7,Battle River,696L/7L696
141,Richdale,162,Sullivan Lake,6L09
142,Riverbend,22,Brooks,824L
142,Riverbend,1,Amoco Empress,863L
142,Riverbend,40,Coalbanks,725AL
143,Rosyth,76,Hardisty,769L
144,Rowley,168,Three Hills,7L137
144,Rowley,114,Michichi Creek,7L25
145,Russell,86,Hillridge,170L
145,Russell,60,Foothills,413L
145,Russell,30,Castle River,412L
146,Sand Hills Sub,65,Gleichen,871L
147,Sandy Point,1,Amoco Empress,869L
148,Sedalia,2,Anderson,9L46AL
149,Sedgewick,7,Battle River,702L/7L702
149,Sedgewick,76,Hardisty,702L
150,Shamrock,190,Whitla,1148L
151,Sheerness,44,Cordel,9L100
151,Sheerness,109,Magrath,9L99
152,Shell Waterton,129,Peace Butte,591L
153,Soderglen,166,Taber Wind Farm,603L
154,Spring Coulee,158,Stirling,225L
155,St. Paul,7,Battle River,7L70
155,St. Paul,189,Whitbylake,7L139
156,Stavely,52,East Stavely,197L
157,Stettler,11,Big Valley,6L44
157,Stettler,188,Wheatland,7L143
157,Stettler,111,Marion Lake,6L02
158,Stirling,112,McBride Lake,225L
158,Stirling,46,Cowley Ridge,508L
158,Stirling,174,Vauxhall,820L
159,Strathmore,65,Gleichen,733L
159,Strathmore,36,Chestermere,765L
160,Strome,122,North Holden,701L
160,Strome,149,Sedgewick,701L/7L701
161,Suffield,1,Amoco Empress,100L
161,Suffield,193,Windy Point,892L
162,Sullivan Lake,7,Battle River,6L03
162,Sullivan Lake,32,Castor,6L15
162,Sullivan Lake,74,Hanna,6L12
163,Summerview,60,Foothills,624L
164,Sunken Lake,87,Hughenden,472AL
165,Taber,5,Bardo,172L
165,Taber,59,Fincastle,610L
165,Taber,183,Warner,507L
166,Taber Wind Farm,43,Conrad,607AL
167,Taylor Hydro Plant,118,Namaka,CHD-1
168,Three Hills,80,Heatburg,7L159
168,Three Hills,155,St. Paul,7L137
169,Tilley,161,Suffield,100L
169,Tilley,107,Macdonald,666L
170,Tinchebray,2,Anderson,9L93
170,Tinchebray,63,Garden Plain,9L59
170,Tinchebray,44,Cordel,9L16
171,Travers,192,Windy Flats,1036L
171,Travers,16,Blackspring Ridge,1041L
171,Travers,121,Nilrem,1042L
172,Tucuman,180,Wainwright,704L
172,Tucuman,121,Nilrem,679L
172,Tucuman,121,Nilrem,680L
172,Tucuman,36,Chestermere,681L
173,Uplands,22,Brooks,813L
173,Uplands,123,North Lethbridge,734L
174,Vauxhall,88,Hull,763L
174,Vauxhall,78,Hays,821L
175,Vegreville,176,Vermilion,7L65
